Show,EpId,lectura,lectura_n,score,margen,rank_asignado,coincide_argmax,n_palabras_asr,duracion,fecha
LPJM,2020-06-03_09_44_45,Lectura 66,66,0.9794,0.7053,1,True,298,122.1,2020-06-03
LPJM,2020-06-03_09_50_03,Lectura 67,67,0.8984,0.6991,1,True,306,157.4,2020-06-03
LPJM,2020-06-03_09_52_34,Lectura 68,68,0.9534,0.8159,1,True,282,131.2,2020-06-03
LPJM,2020-06-03_09_55_45,Lectura 69,69,0.9594,0.797,1,True,340,161.9,2020-06-03
LPJM,2020-06-03_09_58_27,Lectura 70,70,0.9826,0.5647,1,True,299,141.2,2020-06-03
LPJM,2020-06-04_06_19_20,Lectura 71,71,0.9671,0.2755,1,True,352,176.1,2020-06-04
LPJM,2020-06-04_06_23_05,Lectura 72,72,0.9355,0.7484,1,True,373,171.6,2020-06-04
LPJM,2020-06-04_06_47_31,Lectura 73,73,0.991,0.6677,1,True,328,143.1,2020-06-04
LPJM,2020-06-04_06_51_30,Lectura 74,74,0.9718,0.5573,1,True,306,149.4,2020-06-04
LPJM,2020-06-04_08_58_10,Lectura 75,75,0.977,0.8146,1,True,287,129.0,2020-06-04
LPJM,2020-06-04_09_00_40,Lectura 76,76,0.9826,0.7861,1,True,262,121.7,2020-06-04
LPJM,2020-06-04_09_03_51,Lectura 77,77,0.9778,0.7882,1,True,362,158.1,2020-06-04
LPJM,2020-06-04_09_06_58,Lectura 78,78,0.9842,0.7518,1,True,315,132.6,2020-06-04
LPJM,2020-06-04_09_09_08,Lectura 79,79,0.9657,0.674,1,True,256,110.9,2020-06-04
LPJM,2020-06-04_09_12_32,Lectura 80,80,0.9875,0.7562,1,True,265,113.5,2020-06-04
LPJM,2020-06-05_06_50_08,Lectura 81,81,0.9638,0.8148,1,True,342,156.0,2020-06-05
LPJM,2020-06-05_06_54_03,Lectura 82,82,0.9644,0.843,1,True,271,120.3,2020-06-05
LPJM,2020-06-05_08_02_34,Lectura 83,83,0.9411,0.7478,1,True,344,146.5,2020-06-05
LPJM,2020-06-05_08_05_46,Lectura 84,84,0.9788,0.8218,1,True,368,153.8,2020-06-05
LPJM,2020-06-05_08_07_52,Lectura 85,85,0.9473,0.7538,1,True,267,110.3,2020-06-05
LPJM,2020-06-05_08_11_10,Lectura 86,86,0.981,0.2863,1,True,343,156.2,2020-06-05
LPJM,2020-06-05_08_13_54,Lectura 87,87,0.9157,0.68,1,True,285,107.5,2020-06-05
LPJM,2020-06-05_09_03_27,Lectura 88,88,0.9816,0.6541,1,True,310,138.2,2020-06-05
LPJM,2020-06-05_09_08_33,Lectura 89,89,0.9545,0.84,1,True,279,134.2,2020-06-05
LPJM,2020-06-05_09_10_54,Lectura 90,90,0.9754,0.8101,1,True,321,130.9,2020-06-05
LPJM,2020-06-06_06_27_33,Lectura 91,91,0.9208,0.722,1,True,259,108.7,2020-06-06
LPJM,2020-06-06_06_30_59,Lectura 92,92,0.9673,0.7067,1,True,369,161.2,2020-06-06
LPJM,2020-06-06_06_33_02,Lectura 93,93,0.9807,0.844,1,True,258,110.7,2020-06-06
LPJM,2020-06-06_06_42_37,Lectura 94,94,0.9435,0.7638,1,True,312,134.3,2020-06-06
LPJM,2020-06-06_06_47_37,Lectura 95,95,0.9738,0.8444,1,True,287,113.5,2020-06-06
LPJM,2020-06-06_06_50_27,Lectura 96,96,0.9736,0.8267,1,True,311,142.3,2020-06-06
LPJM,2020-06-06_06_52_49,Lectura 97,97,0.9462,0.8111,1,True,263,109.8,2020-06-06
LPJM,2020-06-06_06_55_07,Lectura 98,98,0.9573,0.8092,1,True,255,107.7,2020-06-06
LPJM,2020-06-06_07_26_56,Lectura 99,99,0.9559,0.7845,1,True,250,106.5,2020-06-06
LPJM,2020-06-06_07_30_02,Lectura 100,100,0.9647,0.7931,1,True,353,150.8,2020-06-06
PVM,2020-05-27_01_01_37,Lectura 3,3,0.865,0.7192,1,True,187,148.7,2020-05-27
PVM,2020-05-27_03_20_01,Lectura 4,4,0.9654,0.8353,1,True,393,256.8,2020-05-27
PVM,2020-05-27_04_37_41,Lectura 5,5,0.951,0.8061,1,True,229,143.5,2020-05-27
PVM,2020-05-27_05_24_23,Lectura 6,6,0.9114,0.7158,1,True,268,165.3,2020-05-27
PVM,2020-05-27_06_12_08,Lectura 7,7,0.8511,0.6196,1,True,272,152.8,2020-05-27
PVM,2020-05-27_08_00_37,Lectura 8,8,0.9643,0.831,1,True,249,159.4,2020-05-27
PVM,2020-05-27_10_00_18,Lectura 1,1,0.9181,0.6906,1,True,323,247.1,2020-05-27
PVM,2020-05-27_10_17_06,Lectura 9,9,0.8743,0.7412,1,True,234,152.4,2020-05-27
PVM,2020-05-27_10_31_54,Lectura 10,10,0.9273,0.7965,1,True,274,173.2,2020-05-27
PVM,2020-05-27_10_42_18,Lectura 2,2,0.8783,0.7315,1,True,334,228.2,2020-05-27
PVM,2020-05-28_03_15_48,Lectura 16,16,0.764,0.4614,1,True,214,107.9,2020-05-28
PVM,2020-05-28_03_43_16,Lectura 17,17,0.962,0.7865,1,True,296,165.1,2020-05-28
PVM,2020-05-28_05_03_30,Lectura 18,18,0.8954,0.7579,1,True,253,140.3,2020-05-28
PVM,2020-05-28_06_26_30,Lectura 19,19,0.9335,0.6018,1,True,304,179.5,2020-05-28
PVM,2020-05-28_07_56_38,Lectura 11,11,0.9142,0.7465,1,True,304,184.9,2020-05-28
PVM,2020-05-28_08_35_19,Lectura 20,20,0.9205,0.7854,1,True,202,115.3,2020-05-28
PVM,2020-05-28_08_37_27,Lectura 12,12,0.9618,0.6425,1,True,268,164.7,2020-05-28
PVM,2020-05-28_09_51_59,Lectura 13,13,0.9678,0.805,1,True,280,150.2,2020-05-28
PVM,2020-05-28_11_02_45,Lectura 14,14,0.8305,0.662,1,True,237,132.9,2020-05-28
PVM,2020-05-28_12_12_58,Lectura 15,15,0.9019,0.7609,1,True,286,173.0,2020-05-28
PVM,2020-05-29_03_03_58,Lectura 26,26,0.9091,0.7593,1,True,338,209.6,2020-05-29
PVM,2020-05-29_04_50_37,Lectura 27,27,0.9144,0.7632,1,True,343,229.2,2020-05-29
PVM,2020-05-29_05_30_03,Lectura 28,28,0.9369,0.6525,1,True,254,138.3,2020-05-29
PVM,2020-05-29_06_19_11,Lectura 29,29,0.6762,0.4967,1,True,292,162.9,2020-05-29
